Player,Overall_Shooting_Rating,Total_Shots,Goals,Goal_Rate_%,Avg_Shot_Quality,Shot_Consistency,Best_Shot,Worst_Shot
raphael guerreiro,62.7,127,12,9.4,61.3,24.9,100.0,29.0
nacer chadli,62.7,130,19,14.6,60.5,24.0,100.0,29.0
raul garcia,62.7,353,39,11.0,61.1,25.0,100.0,26.0
romain grange,62.7,31,2,6.5,61.8,26.1,95.0,32.0
karim matmour,62.7,29,1,3.4,62.2,24.1,98.0,36.0
salva sevilla,62.7,105,9,8.6,61.4,23.7,100.0,32.0
nicklas bendtner,62.7,38,5,13.2,60.8,23.1,100.0,32.0
georg niedermeier,62.7,57,8,14.0,60.6,25.1,98.0,13.0
giovani dos santos,62.7,168,18,10.7,61.1,24.4,100.0,31.0
vladimir weiss,62.7,41,7,17.1,60.1,24.7,100.0,32.0
reynald lemaitre,62.6,27,3,11.1,61.0,25.9,97.0,13.0
andre hoffmann,62.6,20,2,10.0,61.0,24.3,97.0,30.0
brandao,62.6,169,20,11.8,60.8,24.0,100.0,28.0
matthew jarvis,62.6,29,3,10.3,61.0,24.9,98.0,33.0
benjamin nivet,62.6,116,19,16.4,60.1,24.1,100.0,13.0
kamil grosicki,62.6,112,13,11.6,60.8,24.8,100.0,27.0
jairo samperio,62.6,71,10,14.1,60.5,23.7,100.0,32.0
pawel wszolek,62.6,21,1,4.8,61.9,26.3,100.0,34.0
luis alberto,62.6,109,8,7.3,61.5,24.1,100.0,31.0
ishak belfodil,62.6,107,9,8.4,61.3,23.6,100.0,31.0
ervin zukanovic,62.6,46,6,13.0,60.6,25.8,98.0,13.0
patrick ebert,62.6,129,9,7.0,61.6,24.2,100.0,32.0
nikica jelavic,62.6,128,14,10.9,61.0,23.6,100.0,32.0
angel lafita,62.6,199,16,8.0,61.4,23.6,100.0,28.0
paulo dybala,62.6,288,38,13.2,60.7,23.9,100.0,28.0
stevan jovetic,62.6,351,41,11.7,60.8,24.0,100.0,30.0
gylfi sigurdsson,62.6,262,26,9.9,61.2,23.2,100.0,30.0
robert acquafresca,62.6,104,9,8.7,61.3,23.4,100.0,13.0
nikita rukavytsya,62.6,18,1,5.6,68.7,27.6,100.0,32.0
diego perotti,62.6,152,15,9.9,61.1,24.5,100.0,32.0
alessandro rosina,62.6,56,5,8.9,61.3,24.5,100.0,32.0
tom cleverley,62.5,65,6,9.2,61.1,22.2,100.0,29.0
paulao,62.5,39,5,12.8,60.6,25.7,97.0,13.0
erik jendrisek,62.5,23,2,8.7,61.2,22.9,100.0,35.0
adrian mutu,62.5,197,17,8.6,61.2,23.3,100.0,27.0
dimitri payet,62.5,456,44,9.6,61.0,24.0,100.0,28.0
angel di maria,62.5,347,30,8.6,61.2,23.9,100.0,28.0
carlos eduardo,62.5,75,10,13.3,60.5,24.8,100.0,30.0
carlos martins,62.5,38,2,5.3,61.7,25.5,99.0,30.0
levan mchedlidze,62.5,59,8,13.6,60.5,23.9,100.0,33.0
gareth barry,62.5,62,4,6.5,61.5,22.5,97.0,36.0
sejad salihovic,62.5,162,27,16.7,60.0,23.9,98.0,25.0
salomon rondon,62.5,128,17,13.3,60.5,23.3,100.0,29.0
jonathan zebina,62.5,22,1,4.5,61.8,27.5,97.0,13.0
dario lezcano,62.4,49,5,10.2,60.8,23.0,100.0,32.0
vincent janssen,62.4,20,1,5.0,61.7,23.5,98.0,35.0
mario yepes,62.4,20,1,5.0,61.6,24.2,98.0,33.0
johan audel,62.4,66,6,9.1,61.0,22.9,99.0,33.0
danny latza,62.4,36,3,8.3,61.1,25.1,98.0,33.0
juan dominguez,62.4,24,2,8.3,61.1,22.3,100.0,33.0
chinedu obasi,62.4,50,4,8.0,61.2,23.9,98.0,35.0
aaron hunt,62.4,215,25,11.6,60.7,23.7,100.0,13.0
ibai gomez,62.4,193,15,7.8,61.2,23.7,100.0,28.0
verza,62.4,78,13,16.7,59.9,25.0,95.0,28.0
ante vukusic,62.4,29,1,3.4,61.9,23.4,100.0,33.0
milan bisevac,62.4,21,2,9.5,61.0,24.2,98.0,32.0
pablo barrientos,62.4,140,14,10.0,60.9,24.6,100.0,31.0
yoda,62.3,29,4,13.8,60.3,22.9,100.0,32.0
borja valero,62.3,224,17,7.6,61.2,23.8,100.0,31.0
modou sougou,62.3,63,7,11.1,60.7,24.1,99.0,13.0
nordin amrabat,62.3,98,5,5.1,61.5,23.4,100.0,32.0
stephen ireland,62.3,39,2,5.1,61.6,25.3,100.0,33.0
juan bernat,62.3,65,2,3.1,61.9,24.2,100.0,32.0
michael dawson,62.3,39,5,12.8,60.4,23.5,99.0,32.0
eder,62.3,457,54,11.8,60.5,23.5,100.0,28.0
frederik sorensen,62.3,32,2,6.2,61.4,23.3,98.0,27.0
john terry,62.3,58,10,17.2,59.8,24.7,100.0,13.0
olivier occean,62.3,25,1,4.0,61.7,23.0,99.0,38.0
bernardo,62.3,35,3,8.6,61.0,26.5,98.0,25.0
ashkan dejagah,62.3,62,8,12.9,60.3,22.4,99.0,27.0
fernando soriano,62.2,62,7,11.3,60.5,24.9,100.0,29.0
saber khalifa,62.2,25,1,4.0,61.6,24.3,100.0,36.0
eduardo salvio,62.2,43,3,7.0,61.1,24.2,100.0,31.0
carlos gurpegui,62.2,19,4,21.1,62.3,26.1,97.0,35.0
mauro dos santos,62.2,26,3,11.5,60.4,27.7,98.0,13.0
eduardo ribeiro,62.2,47,7,14.9,60.0,23.7,100.0,30.0
simone pepe,62.2,101,10,9.9,60.7,24.1,100.0,30.0
axel bellinghausen,62.2,44,4,9.1,60.8,23.5,100.0,33.0
georgeskevin nkoudou mbida,62.1,29,2,6.9,61.0,24.7,99.0,33.0
yassine benzia,62.1,95,9,9.5,60.6,23.8,100.0,31.0
daniel braaten,62.1,36,3,8.3,60.9,23.9,100.0,30.0
mbaye niang,62.1,222,19,8.6,60.8,23.9,100.0,28.0
james milner,62.1,122,17,13.9,60.0,22.9,100.0,30.0
paolo de ceglie,62.1,37,5,13.5,60.1,23.3,98.0,35.0
xavi,62.1,123,18,14.6,59.9,24.0,100.0,32.0
alejandro alfaro,62.1,71,8,11.3,60.4,24.2,100.0,26.0
jeffrey bruma,62.1,34,4,11.8,60.4,23.9,99.0,32.0
roel brouwers,62.1,22,3,13.6,60.1,26.6,99.0,13.0
nico lopez,62.1,65,8,12.3,60.3,22.9,100.0,32.0
younes kaboul,62.1,34,3,8.8,60.7,25.4,98.0,13.0
celso borges,62.1,68,11,16.2,59.6,22.4,100.0,32.0
jorginho frello,62.1,16,7,43.8,71.1,24.7,100.0,35.0
vladimir darida,62.1,111,13,11.7,60.4,23.8,100.0,32.0
ezequiel schelotto,62.1,105,8,7.6,60.9,24.5,100.0,31.0
prince oniangue,62.1,147,19,12.9,60.2,23.4,100.0,13.0
odair fortes,62.1,83,8,9.6,60.7,23.3,100.0,31.0
junior stanislas,62.0,72,7,9.7,60.5,23.1,100.0,28.0
valentin stocker,62.0,65,7,10.8,60.3,23.6,100.0,31.0
didier ya konan,62.0,155,16,10.3,60.5,23.9,100.0,26.0
aurelien chedjou,62.0,41,9,22.0,58.7,25.9,99.0,13.0
jose antonio reyes,62.0,112,5,4.5,61.3,23.6,100.0,28.0
andy king,62.0,44,5,11.4,60.3,24.1,100.0,35.0
alexis,62.0,42,8,19.0,59.1,23.8,97.0,33.0
wes hoolahan,62.0,43,5,11.6,60.3,24.9,100.0,27.0
denis cheryshev,62.0,75,7,9.3,60.6,23.8,100.0,32.0
adel taarabt,62.0,61,4,6.6,61.1,23.2,100.0,35.0
takashi inui,62.0,188,10,5.3,61.2,22.8,100.0,29.0
yohan mollo,62.0,117,14,12.0,60.2,24.1,100.0,31.0
ludovic obraniak,62.0,156,17,10.9,60.4,23.3,100.0,30.0
rudy gestede,62.0,64,5,7.8,60.8,22.0,99.0,40.0
adama ba,62.0,24,3,12.5,60.1,25.2,100.0,35.0
djibril sidibe,62.0,103,9,8.7,60.7,23.9,100.0,32.0
oscar,62.0,275,29,10.5,60.4,23.0,100.0,32.0
andrea bertolacci,62.0,187,17,9.1,60.6,24.6,100.0,30.0
benjamin corgnet,61.9,210,21,10.0,60.4,24.0,100.0,27.0
federico bernardeschi,61.9,101,11,10.9,60.3,23.9,100.0,32.0
chico,61.9,26,5,19.2,59.0,24.2,97.0,13.0
lucas moura,61.9,225,26,11.6,60.1,23.4,100.0,33.0
philipp lahm,61.9,62,5,8.1,60.6,23.0,95.0,32.0
eric maxim choupomoting,61.9,201,24,11.9,60.1,23.8,100.0,26.0
marko livaja,61.9,71,9,12.7,60.0,24.6,100.0,29.0
marcelo larrondo,61.9,39,4,10.3,60.4,24.2,100.0,34.0
brice jovial,61.9,69,9,13.0,59.9,23.1,99.0,33.0
junior tallo,61.9,107,11,10.3,60.4,22.6,100.0,30.0
habib diallo,61.9,21,1,4.8,61.2,24.3,100.0,35.0
bengalifode koita,61.9,59,3,5.1,61.1,24.4,98.0,34.0
issam jemaa,61.9,27,4,14.8,59.7,24.0,100.0,33.0
benjamin jeannot,61.9,132,14,10.6,60.3,24.8,100.0,27.0
john anthony brooks,61.9,23,3,13.0,59.9,24.9,97.0,13.0
slobodan rajkovic,61.9,25,3,12.0,60.1,25.2,99.0,33.0
alessandro gamberini,61.9,27,3,11.1,60.2,25.6,97.0,13.0
orellana,61.8,49,5,10.2,60.3,23.7,100.0,30.0
diego buonanotte,61.8,45,2,4.4,61.1,23.4,100.0,34.0
jack rodwell,61.8,67,4,6.0,60.9,23.0,97.0,33.0
emmanuel cascione,61.8,71,4,5.6,60.9,24.0,99.0,13.0
james morrison,61.8,101,9,8.9,60.5,24.9,100.0,24.0
serge gakpe,61.8,159,15,9.4,60.4,23.8,100.0,29.0
alexandre alphonse,61.8,19,1,5.3,64.3,25.8,95.0,33.0
leroy fer,61.8,120,15,12.5,60.0,23.7,100.0,33.0
wylan cyprien,61.8,75,7,9.3,60.4,23.9,98.0,31.0
andreas ivanschitz,61.8,192,17,8.9,60.5,23.8,100.0,27.0
sebastian giovinco,61.8,270,24,8.9,60.5,23.4,100.0,30.0
aaron ramsey,61.8,191,17,8.9,60.5,24.0,100.0,26.0
david silva,61.8,164,20,12.2,60.0,23.7,100.0,31.0
adrian embarba,61.8,67,5,7.5,60.7,23.3,100.0,32.0
gonzalo castro,61.8,408,39,9.6,60.4,24.6,100.0,27.0
omar el kaddouri,61.8,89,9,10.1,60.3,24.4,100.0,27.0
andros townsend,61.8,117,8,6.8,60.8,23.2,100.0,32.0
andrea catellani,61.8,22,1,4.5,61.1,25.4,98.0,33.0
paco montanes,61.8,22,1,4.5,61.1,21.7,100.0,36.0
tomer hemed,61.7,143,17,11.9,59.9,22.6,100.0,29.0
yannick carrasco,61.7,87,8,9.2,60.3,23.5,100.0,32.0
iker muniain,61.7,149,11,7.4,60.6,24.1,100.0,32.0
alexandru maxim,61.7,97,11,11.3,60.0,24.4,100.0,28.0
arturo vidal,61.7,308,40,13.0,59.7,23.9,100.0,31.0
francesco totti,61.7,369,43,11.7,60.0,23.9,100.0,29.0
nene,61.7,231,30,13.0,59.7,24.1,100.0,26.0
faycal fajr,61.7,99,6,6.1,60.8,23.8,100.0,33.0
benjamin angoua,61.7,26,3,11.5,60.0,25.3,99.0,13.0
alejandro gomez,61.7,336,28,8.3,60.5,23.4,100.0,26.0
mauro zarate,61.6,140,12,8.6,60.3,22.3,100.0,30.0
joe ledley,61.6,34,6,17.6,58.9,23.2,97.0,33.0
gianluca sansone,61.6,93,6,6.5,60.7,24.4,98.0,32.0
ricardo costa,61.6,52,8,15.4,59.3,24.4,97.0,29.0
ragnar klavan,61.6,46,4,8.7,60.3,23.9,99.0,33.0
lars bender,61.6,110,12,10.9,60.0,24.9,100.0,25.0
ryder matos,61.6,57,2,3.5,61.1,23.1,99.0,33.0
nicola pozzi,61.6,27,3,11.1,59.9,22.2,95.0,35.0
nill de pauw,61.6,25,4,16.0,59.2,26.8,100.0,33.0
marquinhos,61.6,31,4,12.9,59.6,25.0,100.0,33.0
pedro leon,61.6,303,21,6.9,60.6,23.8,100.0,30.0
roberto soriano,61.6,185,21,11.4,59.9,23.6,100.0,32.0
jean makoun,61.5,24,3,12.5,59.6,26.4,100.0,32.0
emir spahic,61.5,52,5,9.6,60.1,24.8,100.0,13.0
robert ibanez,61.5,42,7,16.7,59.0,23.0,100.0,33.0
marcell jansen,61.5,119,8,6.7,60.5,24.4,99.0,29.0
nico pulzetti,61.5,32,1,3.1,61.0,26.8,98.0,33.0
samu castillejo,61.5,73,3,4.1,60.8,21.7,100.0,35.0
alex iwobi,61.5,44,4,9.1,60.1,22.0,99.0,33.0
kolbeinn sigthorsson,61.5,35,3,8.6,60.2,24.6,100.0,32.0
banel nicolita,61.5,42,3,7.1,60.4,26.2,100.0,29.0
florian thauvin,61.5,283,31,11.0,59.8,24.2,100.0,30.0
alexander esswein,61.5,188,12,6.4,60.5,23.8,100.0,28.0
ryan mendes,61.5,51,7,13.7,59.5,25.0,100.0,31.0
tobias weis,61.5,37,2,5.4,60.7,24.2,98.0,30.0
lucas ocampos,61.5,124,12,9.7,60.1,24.0,100.0,27.0
billy ketkeophomphone,61.5,67,5,7.5,60.4,25.1,99.0,32.0
riki,61.5,159,15,9.4,60.1,23.6,100.0,25.0
stefan bell,61.4,75,8,10.7,59.8,23.8,98.0,13.0
eros pisano,61.4,51,6,11.8,59.6,25.3,97.0,13.0
pablo daniel osvaldo,61.4,34,6,17.6,58.8,24.5,100.0,34.0
christian eriksen,61.4,320,28,8.8,60.1,23.2,100.0,30.0
cedric yambere,61.4,27,4,14.8,59.1,24.2,99.0,26.0
senad lulic,61.4,145,18,12.4,59.6,24.8,100.0,28.0
jordan loties,61.4,56,3,5.4,60.6,23.7,100.0,31.0
frederic kanoute,61.4,33,4,12.1,59.6,22.4,100.0,33.0
ericmaxim choupomoting,61.4,25,2,8.0,60.2,25.3,98.0,28.0
joleon lescott,61.4,27,4,14.8,59.2,21.5,96.0,36.0
camel meriem,61.4,30,3,10.0,59.9,22.2,95.0,28.0
philipp wollscheid,61.4,57,5,8.8,60.1,23.9,100.0,13.0
sylvain marchal,61.4,29,3,10.3,59.9,24.8,99.0,27.0
casadesus,61.4,56,9,16.1,59.0,22.5,100.0,29.0
cristian zaccardo,61.4,52,4,7.7,60.3,23.7,100.0,30.0
marvin compper,61.4,18,3,16.7,65.8,24.4,99.0,41.0
diego fabbrini,61.4,27,3,11.1,59.7,24.6,100.0,35.0
adriano,61.4,80,9,11.2,59.7,24.5,100.0,31.0
alexandre mendy,61.4,25,2,8.0,60.2,24.1,100.0,36.0
paulinho,61.4,154,20,13.0,59.4,24.1,100.0,28.0
san jose,61.4,35,4,11.4,59.7,24.6,99.0,31.0
sergio busquets,61.3,26,3,11.5,59.5,23.6,97.0,35.0
diego forlan,61.3,39,2,5.1,60.5,23.9,100.0,33.0
yannick ferreiracarrasco,61.3,114,11,9.6,59.8,23.1,100.0,32.0
federico peluso,61.3,56,4,7.1,60.2,24.8,98.0,33.0
maximilian arnold,61.3,148,17,11.5,59.6,24.4,100.0,31.0
diego castro,61.3,151,17,11.3,59.6,24.1,100.0,13.0
francois kamano,61.3,92,8,8.7,60.0,24.5,100.0,26.0
connor wickham,61.3,145,17,11.7,59.6,23.6,100.0,30.0
karim bellarabi,61.3,242,22,9.1,59.9,23.8,100.0,29.0
theo bongonda,61.3,33,4,12.1,59.5,23.8,100.0,31.0
timm klose,61.3,32,5,15.6,59.0,23.3,97.0,33.0
emiliano armenteros,61.3,141,9,6.4,60.4,23.4,100.0,31.0
tongo doumbia,61.2,60,4,6.7,60.2,23.7,100.0,33.0
dongwon ji,61.2,95,8,8.4,60.0,22.1,100.0,30.0
edgar prib,61.2,91,5,5.5,60.4,23.7,100.0,32.0
michel bastos,61.2,123,15,12.2,59.4,24.2,100.0,32.0
jordi gomez,61.2,33,4,12.1,59.3,23.8,100.0,32.0
adam hlousek,61.2,31,4,12.9,59.3,25.6,97.0,13.0
haris seferovic,61.2,210,17,8.1,59.9,23.1,100.0,33.0
daniel carrico,61.2,38,4,10.5,59.7,24.5,97.0,33.0
cameron jerome,61.2,86,5,5.8,60.3,23.4,100.0,31.0
johannes flum,61.2,66,8,12.1,59.3,24.5,100.0,13.0
marco benassi,61.2,139,13,9.4,59.8,23.8,100.0,32.0
eran zahavi,61.2,41,2,4.9,60.4,24.4,100.0,32.0
allan saintmaximin,61.2,64,3,4.7,60.5,23.1,100.0,29.0
cristian rodriguez,61.2,60,2,3.3,60.7,23.5,99.0,32.0
jonas martin,61.2,74,5,6.8,60.1,24.1,100.0,32.0
souleymane diawara,61.1,31,5,16.1,58.7,27.8,99.0,13.0
marcel schafer,61.1,67,7,10.4,59.5,24.8,100.0,33.0
peter whittingham,61.1,32,2,6.2,60.2,23.6,97.0,27.0
pizzi,61.1,137,12,8.8,59.8,23.6,100.0,28.0
romain alessandrini,61.1,226,23,10.2,59.6,22.5,100.0,32.0
david nugent,61.1,39,5,12.8,59.1,22.3,99.0,33.0
dusan tadic,61.1,147,13,8.8,59.8,23.1,100.0,31.0
philippe mexes,61.1,65,7,10.8,59.5,24.2,98.0,13.0
george boyd,61.1,86,8,9.3,59.7,21.8,98.0,32.0
levin oztunali,61.1,50,4,8.0,59.9,23.6,100.0,32.0
joan verdu,61.1,162,17,10.5,59.5,24.7,100.0,28.0
kim bokyung,61.0,19,1,5.3,63.4,24.7,96.0,33.0
serdar tasci,61.0,30,3,10.0,59.5,23.4,100.0,31.0
antonio di gaudio,61.0,34,3,8.8,59.7,22.5,100.0,35.0
livio nabab,61.0,47,4,8.5,59.7,23.0,98.0,35.0
abraham guie guie,61.0,22,1,4.5,60.4,24.5,98.0,30.0
nicolas fauvergue,61.0,25,2,8.0,59.8,23.1,99.0,37.0
inigo martinez,61.0,110,18,16.4,58.6,23.6,99.0,13.0
andre dias,61.0,24,1,4.2,60.4,25.5,97.0,32.0
gennaro delvecchio,61.0,32,1,3.1,60.5,22.6,100.0,35.0
santiago cazorla,61.0,274,20,7.3,59.9,23.5,100.0,29.0
richmond boakye,61.0,51,9,17.6,58.3,23.1,100.0,30.0
miranda,61.0,74,11,14.9,58.8,24.7,100.0,13.0
wes morgan,61.0,58,7,12.1,59.2,24.3,99.0,13.0
julien feret,60.9,206,30,14.6,58.7,23.9,100.0,26.0
wahbi khazri,60.9,277,29,10.5,59.4,23.9,100.0,24.0
ante rebic,60.9,28,2,7.1,59.8,22.0,100.0,33.0
anthony mounier,60.9,202,25,12.4,59.0,24.4,100.0,27.0
seydou keita,60.9,45,7,15.6,58.5,23.4,98.0,31.0
jonathan ayite,60.9,39,2,5.1,60.1,24.6,98.0,30.0
willian,60.9,191,16,8.4,59.6,23.7,100.0,32.0
marco dalessandro,60.9,32,3,9.4,59.5,23.2,100.0,32.0
kyriakos papadopoulos,60.9,65,6,9.2,59.5,22.3,99.0,13.0
andre gomes,60.9,85,7,8.2,59.7,22.9,100.0,33.0
andres iniesta,60.9,179,9,5.0,60.2,23.3,100.0,29.0
thiago ribeiro,60.9,109,6,5.5,60.1,23.9,100.0,33.0
roman neustadter,60.9,90,7,7.8,59.7,22.2,98.0,33.0
cristian zapata,60.9,22,3,13.6,58.8,26.2,97.0,13.0
cesar azpilicueta,60.9,42,3,7.1,59.8,24.6,100.0,33.0
nicolas mauricebelay,60.9,142,10,7.0,59.9,24.0,100.0,31.0
mario lemina,60.9,43,4,9.3,59.5,25.7,99.0,32.0
adrian colunga,60.9,127,13,10.2,59.3,23.6,100.0,30.0
ignacio camacho,60.9,107,15,14.0,58.8,24.6,100.0,27.0
zlatko junuzovic,60.8,211,15,7.1,59.8,22.6,100.0,29.0
barkero,60.8,104,12,11.5,59.1,24.1,100.0,30.0
emre can,60.8,110,9,8.2,59.5,24.0,100.0,31.0
victor anichebe,60.8,96,9,9.4,59.4,22.3,100.0,28.0
thomas toure,60.8,82,4,4.9,60.1,22.6,100.0,32.0
antonio nocerino,60.8,113,15,13.3,58.8,24.4,100.0,29.0
hernanes,60.8,354,28,7.9,59.6,23.7,100.0,28.0
lukasz piszczek,60.8,107,13,12.1,59.0,24.6,100.0,25.0
daniele dessena,60.8,86,7,8.1,59.6,24.3,100.0,28.0
guglielmo stendardo,60.8,56,7,12.5,58.9,22.9,98.0,32.0
fernando aristeguieta,60.8,37,2,5.4,60.0,21.9,98.0,35.0
jairo,60.8,32,5,15.6,58.4,25.1,100.0,32.0
jesus navas,60.8,274,9,3.3,60.3,23.8,100.0,29.0
domi kumbela,60.8,55,9,16.4,58.3,23.2,100.0,35.0
roberto gagliardini,60.8,21,0,0.0,60.8,24.2,97.0,31.0
vasilis torosidis,60.8,41,3,7.3,59.7,24.7,100.0,25.0
matija nastasic,60.8,17,3,17.6,68.9,25.3,98.0,37.0
leo,60.7,59,7,11.9,59.0,23.1,100.0,33.0
tobias werner,60.7,239,23,9.6,59.3,23.3,100.0,28.0
jeongho hong,60.7,26,2,7.7,59.5,23.2,99.0,35.0
tony jantschke,60.7,37,4,10.8,59.1,23.2,97.0,30.0
francisco montanes,60.7,52,5,9.6,59.2,23.4,100.0,33.0
roberto torres,60.7,105,11,10.5,59.1,24.5,100.0,27.0
caiuby,60.7,94,5,5.3,59.9,24.0,98.0,32.0
leon goretzka,60.7,107,8,7.5,59.6,23.4,100.0,13.0
elias kachunga,60.7,57,6,10.5,59.1,23.6,100.0,27.0
esteban cambiasso,60.7,125,17,13.6,58.6,24.2,100.0,13.0
kevin mayi,60.6,27,3,11.1,59.0,25.7,98.0,31.0
morgan sanson,60.6,124,13,10.5,59.0,24.2,100.0,25.0
luiz adriano,60.6,29,4,13.8,58.5,22.6,99.0,36.0
tiago,60.6,92,10,10.9,59.0,22.7,100.0,32.0
milan djuric,60.6,30,2,6.7,59.6,23.1,100.0,38.0
alexandre geijo,60.6,24,3,12.5,58.8,22.1,100.0,34.0
adrien regattin,60.6,150,8,5.3,59.8,24.0,99.0,28.0
claudiu keseru,60.6,24,1,4.2,60.0,24.8,97.0,35.0
mathieu bodmer,60.6,67,8,11.9,58.8,23.3,100.0,26.0
gaston sangoy,60.6,37,3,8.1,59.4,24.1,100.0,32.0
nathan redmond,60.5,159,9,5.7,59.6,23.7,100.0,27.0
riccardo meggiorini,60.5,241,15,6.2,59.5,22.9,100.0,32.0
jonathan biabiany,60.5,169,15,8.9,59.2,23.0,100.0,31.0
hernan perez,60.5,91,12,13.2,58.6,23.8,100.0,25.0
andre castro,60.5,33,2,6.1,59.6,23.6,100.0,33.0
diego,60.5,327,28,8.6,59.2,23.5,100.0,25.0
saul niguez,60.5,135,11,8.1,59.3,23.9,100.0,32.0
jack cork,60.5,58,7,12.1,58.7,24.8,100.0,13.0
victor alvarez,60.5,29,1,3.4,60.0,23.9,97.0,32.0
mervan celik,60.5,28,4,14.3,58.4,24.4,100.0,35.0
gaetan courtet,60.5,103,11,10.7,58.9,24.3,100.0,33.0
federico fazio,60.5,91,7,7.7,59.4,23.2,100.0,34.0
hakan calhanoglu,60.5,316,26,8.2,59.3,23.0,100.0,24.0
marc torrejon,60.5,21,2,9.5,59.1,26.1,97.0,13.0
lucas deaux,60.5,39,1,2.6,60.1,24.3,100.0,30.0
mauricio isla,60.4,57,5,8.8,59.0,24.4,100.0,32.0
koke,60.4,209,21,10.0,58.9,22.6,100.0,29.0
antonio floro flores,60.4,247,15,6.1,59.4,23.1,100.0,25.0
andreas granqvist,60.4,17,3,17.6,68.4,29.3,98.0,13.0
ander capa,60.4,49,5,10.2,58.8,22.8,98.0,31.0
gaston ramirez,60.4,123,12,9.8,59.0,22.7,100.0,29.0
benedikt howedes,60.4,78,5,6.4,59.5,23.3,100.0,25.0
robbie kruse,60.4,56,6,10.7,58.8,24.4,100.0,27.0
mikel oyarzabal,60.4,52,5,9.6,59.0,23.5,100.0,32.0
alex menendez,60.4,20,2,10.0,58.9,25.7,100.0,35.0
matteo politano,60.4,87,6,6.9,59.3,22.1,100.0,31.0
yacine bammou,60.4,139,9,6.5,59.5,23.1,100.0,30.0
hatem ben arfa,60.4,128,18,14.1,58.3,24.6,100.0,27.0
romain danze,60.4,48,4,8.3,59.1,26.2,100.0,13.0
franco jara,60.4,40,3,7.5,59.2,24.4,98.0,32.0
daniele verde,60.4,20,0,0.0,60.4,22.3,95.0,33.0
jeanarmel kanabiyik,60.4,30,5,16.7,57.9,24.7,100.0,13.0
nikolce noveski,60.3,35,4,11.4,58.6,26.6,98.0,13.0
martin lanig,60.3,38,4,10.5,58.7,23.6,100.0,33.0
moritz stoppelkamp,60.3,77,4,5.2,59.5,24.2,100.0,30.0
loosemy karaboue,60.3,31,1,3.2,59.8,26.4,95.0,32.0
karim laribi,60.3,21,0,0.0,60.3,24.8,93.0,33.0
sead kolasinac,60.3,41,4,9.8,58.9,24.0,100.0,28.0
loic poujol,60.3,22,3,13.6,58.2,28.1,97.0,29.0
mario santana,60.3,74,7,9.5,58.9,23.8,100.0,28.0
jan moravek,60.3,41,2,4.9,59.6,24.4,99.0,31.0
julian korb,60.3,22,1,4.5,59.6,24.2,95.0,35.0
wallace,60.3,31,3,9.7,58.8,24.6,99.0,25.0
sercan sararer,60.3,40,1,2.5,59.9,22.7,95.0,33.0
miralem pjanic,60.3,330,33,10.0,58.8,23.3,100.0,13.0
james mcarthur,60.3,65,9,13.8,58.2,22.7,100.0,28.0
maximiliano moralez,60.3,177,16,9.0,58.9,23.7,100.0,28.0
lucas castro,60.2,162,12,7.4,59.0,23.1,100.0,29.0
john guidetti,60.2,18,2,11.1,65.2,22.6,95.0,42.0
suso,60.2,160,14,8.8,58.9,23.4,100.0,32.0
martin skrtel,60.2,48,13,27.1,56.2,25.2,98.0,13.0
jerome gondorf,60.2,36,4,11.1,58.6,23.0,100.0,30.0
maxime lestienne,60.2,32,1,3.1,59.7,23.9,98.0,33.0
yannick bolasie,60.2,199,10,5.0,59.4,23.2,100.0,29.0
sam vokes,60.2,50,4,8.0,59.0,22.1,99.0,33.0
timo gebhart,60.2,27,2,7.4,59.1,24.1,97.0,29.0
andrea dossena,60.2,19,2,10.5,61.8,26.0,100.0,36.0
vincent kompany,60.2,37,7,18.9,57.4,22.3,97.0,13.0
julian schuster,60.2,75,6,8.0,59.0,23.7,100.0,13.0
emanuele giaccherini,60.2,145,13,9.0,58.9,23.8,100.0,27.0
sandro ramirez,60.2,68,9,13.2,58.2,23.0,100.0,32.0
andreas weimann,60.2,86,7,8.1,59.0,24.1,100.0,33.0
pablo hernandez,60.2,153,12,7.8,59.1,23.2,100.0,13.0
davide moscardelli,60.1,80,6,7.5,59.0,25.1,100.0,26.0
paul pogba,60.1,374,32,8.6,58.8,24.2,100.0,31.0
alessandro sgrigna,60.1,21,1,4.8,59.4,23.8,99.0,35.0
youssef adnane,60.1,38,2,5.3,59.3,22.6,97.0,33.0
yaya sanogo,60.1,32,1,3.1,59.6,23.6,100.0,34.0
marco caligiuri,60.1,57,3,5.3,59.3,23.4,95.0,33.0
ilan araujo,60.1,26,2,7.7,58.9,24.5,100.0,31.0
kevinprince boateng,60.1,274,19,6.9,59.1,24.0,100.0,29.0
sofiane feghouli,60.1,170,21,12.4,58.3,23.6,100.0,28.0
diego mainz,60.1,35,8,22.9,56.7,26.0,97.0,13.0
josip ilicic,60.1,388,39,10.1,58.6,24.4,100.0,28.0
matthias ginter,60.1,74,6,8.1,58.9,23.9,100.0,13.0
sergio ramos,60.1,154,21,13.6,58.1,21.2,98.0,35.0
aboubacar demba camara,60.1,16,2,12.5,73.2,27.6,97.0,30.0
diego colotto,60.1,47,6,12.8,58.2,24.4,99.0,28.0
axel ngando,60.1,21,3,14.3,58.0,24.0,98.0,33.0
cedric makiadi,60.0,81,9,11.1,58.4,23.6,99.0,13.0
